gene	exp	exp
LOC254099	0	0.0256042875
MIR200B	0	0.0245026027
MIR200A	0	0.0245026027
MIR429	0	0.0245026027
TTLL10	0	0.0245026027
TNFRSF18	0	0.0245026027
TNFRSF4	0	0.0245026027
SDF4	0	0.0245026027
B3GALT6	0	0.0245026027
FAM132A	0	0.0219308359
LOC115110	0	0.01398
LOC100133445	0	0.01398
TNFRSF14	0	0.01398
FAM213B	0	0.01398
MMEL1	0	0.01398
TTC34	0	0.0433909248
PRDM16	0	0.00751700517
MIR4251	0	0.02584
TP73	0	0.02129
TP73-AS1	0	0.0148637214
CCDC27	0	0.0148637214
SMIM1	0	0.0148637214
LRRC47	0	0.0148637214
CEP104	0	0.0148637214
LOC284661	0	0.0338075506
AJAP1	0	5.60547197e-05
MIR4689	0	0.00471981455
NPHP4	0	0.00734450991
KCNAB2	0	0.014753432
NOL9	0	6.34867305e-05
TAS1R1	0	5.24960687e-05
ZBTB48	0	4.83488064e-05
KLHL21	0	4.27557037e-05
PHF13	0	7.76470481e-05
THAP3	0	9.30708875e-05
DNAJC11	0	0.00013716439
CAMTA1	0	0.00217090734
VAMP3	0	0.0169731591
PER3	0	0.00652697379
UTS2	0	0.00206895826
TNFRSF9	0	0.00809603322
PARK7	0	0.0155129575
ERRFI1	0	0.0281401353
SLC45A1	0	0.037
RERE	0	0.0156532264
CA6	0	0.0234582901
SLC2A7	0	0.0265922533
SLC2A5	0	0.0265922533
GPR157	0	0.0163371368
MIR34A	0	0.0447656428
PIK3CD	0	0.000479792023
C1orf200	0	0.00304185729
CLSTN1	0	0.000243744412
CTNNBIP1	0	0.000253957524
UBE4B	0	0.00124115903
KIF1B	0	0.0129005314
PGD	0	0.0318453839
APITD1-CORT	0	0.00741767288
CORT	0	0.00448543589
DFFA	0	0.0028273607
PEX14	0	0.00250570119
CASZ1	0	0.00218486898
C1orf127	0	0.0167817382
TARDBP	0	0.0181854045
MASP2	0	0.0187215139
SRM	0	0.0228136633
EXOSC10	0	0.0233983594
MTOR	0	1
MTOR-AS1	0	0.0318000259
ANGPTL7	0	0.0238456486
UBIAD1	0	0.0247852472
DRAXIN	0	0.0135249006
AGTRAP	0	0.00300025361
MTHFR	0	0.000443530416
CLCN6	0	0.000453039164
NPPA-AS1	0	0.000214614734
NPPA	0	0.00020835172
NPPB	0	0.000227415885
KIAA2013	0	0.0295367156
PLOD1	0	0.00934987932
MFN2	0	0.00934987932
MIIP	0	0.00492146287
TNFRSF8	0	0.00459785224
TNFRSF1B	0	0.0253777902
MIR4632	0	0.0253777902
VPS13D	0	0.0214174572
DHRS3	0	0.00503786037
AADACL4	0	0.00872511671
AADACL3	0	0.0184827315
C1orf158	0	0.0184827315
LRRC38	0	0.0320229732
PDPN	0	0.033049046
PRDM2	0	0.0170882723
KAZN	0	0.00155450913
TMEM51-AS1	0	0.0106882005
TMEM51	0	0.0106882005
FHAD1	0	0.03943
EFHD2	0	0.0185647766
CTRC	0	0.0210479678
CELA2A	0	0.00893999135
CELA2B	0	0.00764594762
CASP9	0	0.00711384861
DNAJC16	0	1
AGMAT	0	1
DDI2	0	1
RSC1A1	0	0.000606161779
PLEKHM2	0	0.000381408811
SLC25A34	0	0.000122673077
TMEM82	0	0.000157145958
FBLIM1	0	1.97184577e-06
UQCRHL	0	0.000319527613
FLJ37453	0	0.000374809845
SPEN	0	0.000508447927
ZBTB17	0	0.0035048443
C1orf64	0	0.00710079989
HSPB7	0	0.0087569888
CLCNKA	0	0.0101379015
CLCNKB	0	0.010285426
FAM131C	0	0.0121999703
ARHGEF19	0	0.0361912051
RSG1	0	0.0375084364
FBXO42	0	0.0333093974
SZRD1	0	0.0319809775
SPATA21	0	0.029641533
NECAP2	0	0.03307
SDHB	0	0.0319232753
PADI2	0	0.0319232753
PADI1	0	0.0320416879
PADI3	0	0.0320416879
PADI4	0	0.0116813607
PADI6	0	0.0324052506
RCC2	0	0.0185656104
ARHGEF10L	0	0.0298112996
ACTL8	0	0.024594673
IGSF21	0	0.000448251737
KLHDC7A	0	0.04784
PAX7	0	0.0262364929
TAS1R2	0	0.000285324017
ALDH4A1	0	0.000413303913
MIR4695	0	0.00149475937
UBR4	0	0.0016840235
EMC1	0	0.000799072115
MRTO4	0	0.000442088298
AKR7L	0	0.000407998176
AKR7A3	0	0.000312165969
LOC100506730	0	0.000265960026
AKR7A2	0	4.37235758e-05
PQLC2	0	0.000489459678
CAPZB	0	0.00542418747
TMCO4	0	0.00315632251
RNF186	0	0.00261993566
OTUD3	0	0.00191910435
PLA2G2E	0	0.0042235359
PLA2G2A	0	0.0131583387
PLA2G5	0	0.0191999799
PLA2G2D	0	0.00874820591
PLA2G2F	0	0.00638798076
PLA2G2C	0	0.00638798076
UBXN10	0	0.0111700131
VWA5B1	0	0.000138843006
LOC339505	0	2.01318479e-05
CAMK2N1	0	0.00238274637
MUL1	0	0.00635715088
FAM43B	0	0.000945879792
CDA	0	0.00175231086
PINK1	0	0.00672812915
DDOST	0	0.00632718723
KIF17	0	0.00130262514
SH2D5	0	0.00890733357
HP1BP3	0	0.0123677372
EIF4G3	0	1
ECE1	0	0.00542015957
LOC100506801	0	0.00694203097
NBPF3	0	0.0246220528
ALPL	0	0.00876942324
RAP1GAP	0	0.039996488
USP48	0	0.0293987128
LDLRAD2	0	0.00422667341
HSPG2	0	0.00473479614
LINC00339	0	0.0422
CDC42	0	0.0162380383
WNT4	0	0.00600154551
ZBTB40	0	0.0227972673
EPHA8	0	0.0327368134
EPHB2	0	0.0155681033
MIR4253	0	0.0301808458
KDM1A	0	0.02848
MIR3115	0	0.02848
LUZP1	0	0.02848
HNRNPR	0	0.00699755336
ZNF436	0	0.00802566424
C1orf213	0	0.00802566424
TCEA3	0	0.00802566424
ASAP3	0	0.00900024882
E2F2	0	0.0245591177
ID3	0	0.0245591177
MDS2	0	0.0333851511
RPL11	0	0.0215072741
TCEB3	0	0.0132774036
LOC100506963	0	0.0211837099
PITHD1	0	0.0302311034
LYPLA2	0	0.0302311034
GALE	0	0.0304952186
HMGCL	0	0.0304952186
MYOM3	0	0.0185936292
IL22RA1	0	0.0131071742
IFNLR1	0	0.0131071742
LOC284632	0	0.0187677879
GRHL3	0	1
STPG1	0	0.032465371
RUNX3	0	0.00275138042
SYF2	0	0.0251281248
C1orf63	0	0.0251281248
RHD	0	0.01463
TMEM57	0	0.03685
MAN1C1	0	0.04881
SEPN1	0	0.04881
MTFR1L	0	0.04881
LOC646471	0	0.04881
AUNIP	0	0.0223546179
PAQR7	0	0.0333141631
STMN1	0	0.0131881038
MIR3917	0	0.018594179
PAFAH2	0	0.00230324501
EXTL1	0	2.43469768e-05
SLC30A2	0	1.60151759e-05
TRIM63	0	1.42229624e-05
PDIK1L	0	9.38742429e-06
FAM110D	0	1.60135403e-06
ZNF593	0	1.04743221e-06
CNKSR1	0	8.23500646e-07
CATSPER4	0	8.20924596e-07
CEP85	0	1.5317621e-07
SH3BGRL3	0	1.03201167e-05
UBXN11	0	7.86579695e-06
CD52	0	8.5298005e-06
AIM1L	0	2.48702198e-06
ZNF683	0	6.24734387e-07
LIN28A	0	1.54267804e-05
DHDDS	0	4.90397965e-05
HMGN2	0	0.000701382273
RPS6KA1	0	0.000322332529
MIR1976	0	0.000498351591
SESN2	0	0.00172610692
MED18	0	1
PHACTR4	0	1
RCC1	0	1
TRNAU1AP	0	0.013281144
SNHG12	0	0.0176738759
SNORD99	0	0.0176738759
SNORA61	0	0.0176738759
SNORA44	0	0.0176738759
SNORA16A	0	0.0176738759
RAB42	0	0.0241866243
TAF12	0	6.96860979e-05
RNU11	0	3.28356843e-05
GMEB1	0	1
YTHDF2	0	0.000108319724
OPRD1	0	0.000820982192
EPB41	0	0.00356584933
MECR	0	0.04175
PTPRU	0	0.0178833357
MATN1	0	0.0474975929
MATN1-AS1	0	0.0474975929
LAPTM5	0	0.00604356385
SDC3	0	7.98638665e-06
PUM1	0	0.00054490144
SNORD103A	0	0.000153911808
SNORD85	0	0.000201672816
NKAIN1	0	0.0218961385
SNRNP40	0	0.0221330888
ZCCHC17	0	0.0240163801
SERINC2	0	0.0123638735
LOC149086	0	0.0263397222
LOC284551	0	0.0314289418
TINAGL1	0	0.0195868728
HCRTR1	0	0.0260361678
PEF1	0	0.0260361678
COL16A1	0	0.00241224786
BAI2	0	0.0108411044
MIR4254	0	0.0124515479
SPOCD1	0	0.0174431849
PTP4A2	0	0.0116854026
KHDRBS1	0	0.0116854026
ZBTB8A	0	0.0164158774
ZBTB8OS	0	0.0250147986
RBBP4	0	0.00610107307
SYNC	0	0.0062422265
KIAA1522	0	2.70109777e-05
YARS	0	7.6609259e-05
S100PBP	0	6.7582697e-05
FNDC5	0	7.5606465e-05
HPCA	0	9.54410368e-05
TMEM54	0	0.000110735909
RNF19B	0	0.000323933612
AK2	0	0.00287980958
ZNF362	0	0.021797568
A3GALT2	0	0.021797568
PHC2	0	0.021797568
MIR3605	0	0.0145525327
CSMD2	0	0.00180366317
C1orf94	0	0.0159560724
GJB5	0	0.0229074682
GJB4	0	0.0294501436
LOC653160	0	0.000623
ZMYM6NB	0	0.000623
ZMYM6	0	0.00104263288
ZMYM1	0	0.00187366018
SFPQ	0	0.00245146804
MAP7D1	0	0.00184180532
THRAP3	0	0.00134410117
SH3D21	0	0.00096835368
EVA1B	0	0.000951383314
STK40	0	0.000232909825
LSM10	0	0.00017283521
OSCP1	0	0.0016722885
MRPS15	0	0.0252279904
CSF3R	0	0.0252463681
GRIK3	0	0.0306381336
MIR4255	0	0.02316
LOC728431	0	0.00061076788
ZC3H12A	0	0.00548692875
MEAF6	0	0.00541912619
MIR5581	0	0.00638021383
C1orf109	0	0.03428
CDCA8	0	0.03428
EPHA10	0	0.03428
LOC339442	0	0.00173451997
RRAGC	0	0.00567854779
GJA9-MYCBP	0	0.00567854779
RHBDL2	0	0.00391676794
AKIRIN1	0	0.00254059747
NDUFS5	0	0.015485825
MACF1	0	2.63609135e-11
KIAA0754	0	1
BMP8A	0	1.20863319e-11
PPIEL	0	2.7172864e-10
PABPC4	0	7.53440421e-10
SNORA55	0	8.04512457e-10
HEYL	0	3.09421155e-10
NT5C1A	0	2.90253777e-08
HPCAL4	0	0.000663056329
PPIE	0	0.000824995826
BMP8B	0	0.0337901538
OXCT2	0	0.0376163187
TRIT1	0	0.0367047966
MYCL1	0	0.0367047966
MFSD2A	0	0.0367047966
CAP1	0	0.0281158703
PPT1	0	0.00645421462
RLF	0	0.00296000458
TMCO2	0	0.00530638784
ZMPSTE24	0	0.00825316999
COL9A2	0	0.00902890061
SMAP2	0	0.04947
ZFP69B	0	0.04947
ZFP69	0	0.04947
EXO5	0	0.001881
ZNF684	0	0.00114633392
RIMS3	0	0.0159102681
LOC100130557	0	0.0456
NFYC	0	0.0456
KCNQ4	0	0.02993
CITED4	0	0.0277461727
HIVEP3	0	0.00582307547
FOXJ3	0	0.000192900003
RIMKLA	0	5.87591823e-05
ZMYND12	0	0.0038913581
PPCS	0	0.0043848205
CCDC30	0	0.00755779598
PPIH	0	0.0122172757
YBX1	0	0.0114724829
CLDN19	0	0.0120766162
LEPRE1	0	0.0120766162
C1orf50	0	0.0397077961
LOC100129924	0	0.0240191249
CCDC23	0	0.0203783172
ERMAP	0	0.04324
ZNF691	0	0.04324
SLC2A1	0	0.00558632888
SLC2A1-AS1	0	0.00558632888
EBNA1BP2	0	0.0263902918
TMEM125	0	0.0241337634
C1orf210	0	0.0267215605
TIE1	0	0.0313687174
MPL	0	0.0263183528
CDC20	0	0.0249058034
ELOVL1	0	0.0236581875
MED8	0	0.0223006856
SZT2	0	0.0195908976
HYI	0	0.0188544868
PTPRF	0	0.0266827949
KDM4A	0	0.0359852459
KDM4A-AS1	0	0.0387274506
ST3GAL3	0	0.0264247642
ARTN	0	0.028751517
IPO13	0	0.0230763842
