KEGG ID	KEGG Term	Times Found	Term Pvalues Corr Bonf	Found Gene #	All Associated Gene #	Found Genes Combined	All Associated Genes
KEGG:03040	Spliceosome	9	8.55E-39	65	127	 DDX46  PRPF19  SART1  SNRPD2  SNRPD1  SNRNP70  RBM17  AQR  NCBP1  NCBP2  BUD31  PRPF40A  PLRG1  THOC2  WBP11  CDC40  SF3B14  PRPF6  PRPF18  DDX39B  SYF2  SRSF2  SNRPG  SNRNP27  PPIE  SRSF3  SRSF4  SNRPE  SNRPA1  SRSF5  SNRPF  SNRPC  SRSF6  SLU7  SRSF7  SNRPB  SF3B4  SF3B5  DDX5  SF3B2  SF3B3  RBM8A  DDX23  SRSF1  U2AF1  PRPF8  PUF60  U2AF2  TRA2B  SNRPB2  HNRNPA1  SMNDC1  SF3A3  SF3A1  SF3A2  HSPA6  CDC5L  CWC15  HNRNPM  XAB2  HNRNPK  SNW1  PHF5A  ACIN1  PRPF31 	[ACIN1, AQR, BCAS2, BUD31, CCDC12, CDC40, CDC5L, CHERP, CRNKL1, CTNNBL1, CWC15, DDX23, DDX39B, DDX42, DDX46, DDX5, DHX15, DHX16, DHX38, DHX8, EFTUD2, EIF4A3, HNRNPA1, HNRNPA1L2, HNRNPA3, HNRNPC, HNRNPK, HNRNPM, HNRNPU, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, ISY1, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, MAGOH, MAGOHB, NAA38, NCBP1, NCBP2, NHP2L1, PCBP1, PHF5A, PLRG1, PPIE, PPIH, PPIL1, PQBP1, PRPF18, PRPF19, PRPF3, PRPF31, PRPF38A, PRPF38B, PRPF4, PRPF40A, PRPF40B, PRPF6, PRPF8, PUF60, RBM17, RBM22, RBM25, RBM8A, RBMX, RBMXL1, SART1, SF3A1, SF3A2, SF3A3, SF3B1, SF3B14, SF3B2, SF3B3, SF3B4, SF3B5, SLU7, SMNDC1, SNRNP200, SNRNP27, SNRNP40, SNRNP70, SNRPA, SNRPA1, SNRPB, SNRPB2, SNRPC, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SNW1, SR140, SRSF1, SRSF10, SRSF2, SRSF3, SRSF4, SRSF5, SRSF6, SRSF7, SRSF8, SRSF9, SYF2, TCERG1, THOC1, THOC2, THOC3, THOC4, TRA2A, TRA2B, TXNL4A, U2AF1, U2AF2, USP39, WBP11, XAB2, ZMAT2]
KEGG:04510	Focal adhesion	100	7.03E-38	150	200	 ITGA2B  TNC  ACTB  IGF1R  MYLK  CRKL  ACTG1  PPP1CB  CCND3  CCND2  CCND1  AKT2  AKT3  CAPN2  AKT1  TNR  PRKCG  PDGFRB  PDGFRA  MAP2K1  GRLF1  PRKCB  ACTN2  ACTN1  HGF  PRKCA  ACTN4  COL4A2  COL4A1  COL4A4  COL4A6  COL4A5  TLN2  RAF1  TLN1  SHC3  SHC1  PXN  PDGFB  PDGFA  PIK3R3  PIK3R2  PIK3R1  PIK3R5  VTN  RAP1A  PDGFD  CHAD  PDGFC  VASP  JUN  CAV3  CAV1  FN1  BRAF  PARVA  PARVB  IGF1  PTK2  COL1A1  DIAPH1  COL1A2  ITGA11  BCL2  GRB2  ITGB1  GSK3B  FLT1  ITGB5  ITGB4  ITGB3  RASGRF1  PTEN  ILK  PIK3CD  LAMC2  LAMC1  PIK3CB  ARHGAP5  RAC2  ITGB8  ITGAV  ITGB7  RAC1  ITGB6  HRAS  VAV3  PPP1R12A  VWF  ITGA4  ITGA3  PDPK1  ITGA2  ITGA1  VAV1  VAV2  COL2A1  PIK3CA  COL6A2  COL6A1  RAPGEF1  ITGA8  COL6A3  ITGA7  ITGA6  ITGA5  SOS1  CRK  DOCK1  MET  SOS2  BIRC3  ITGA9  LAMA5  LAMA2  SRC  LAMA1  ROCK2  LAMA4  LAMA3  THBS2  THBS1  EGFR  THBS3  CDC42  MAPK9  PAK1  MAPK8  ERBB2  SPP1  PAK7  FLNA  MAPK1  PAK6  FYN  FLNB  FLNC  MAPK3  LAMB3  EGF  LAMB2  BAD  LAMB1  VEGFA  PPP1CA  MAPK10  COL3A1  ZYX  CTNNB1  BCAR1 	[ACTB, ACTG1, ACTN1, ACTN2, ACTN3, ACTN4, AKT1, AKT2, AKT3, ARHGAP5, BAD, BCAR1, BCL2, BIRC2, BIRC3, BRAF, CAPN2, CAV1, CAV2, CAV3, CCND1, CCND2, CCND3, CDC42, CHAD, COL11A1, COL11A2, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL6A6, COMP, CRK, CRKL, CTNNB1, DIAPH1, DOCK1, EGF, EGFR, ELK1, ERBB2, FIGF, FLNA, FLNB, FLNC, FLT1, FLT4, FN1, FYN, GRB2, GRLF1, GSK3B, HGF, HRAS, IBSP, IGF1, IGF1R, ILK, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, JUN, KDR, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMB4, LAMC1, LAMC2, LAMC3, MAP2K1, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MET, MYL10, MYL12A, MYL12B, MYL2, MYL5, MYL7, MYL9, MYLK, MYLK2, MYLK3, MYLPF, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PARVA, PARVB, PARVG, PDGFA, PDGFB, PDGFC, PDGFD, PDGFRA, PDGFRB, PDPK1, PGF, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIP5K1C, PPP1CA, PPP1CB, PPP1CC, PPP1R12A, PRKCA, PRKCB, PRKCG, PTEN, PTK2, PXN, RAC1, RAC2, RAC3, RAF1, RAP1A, RAP1B, RAPGEF1, RASGRF1, RELN, RHOA, ROCK1, ROCK2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SPP1, SRC, THBS1, THBS2, THBS3, THBS4, TLN1, TLN2, TNC, TNN, TNR, TNXB, VASP, VAV1, VAV2, VAV3, VCL, VEGFA, VEGFB, VEGFC, VTN, VWF, XIAP, ZYX]
KEGG:04130	SNARE interactions in vesicular transport	36	1.99E-35	31	36	 SNAP25  SNAP47  STX17  STX16  GOSR2  STX19  SNAP23  STX18  USE1  STX11  STX6  VTI1A  BNIP1  STX5  STX4  STX3  STX2  SNAP29  YKT6  VTI1B  STX8  STX7  VAMP8  VAMP7  VAMP1  VAMP4  VAMP5  STX1A  VAMP2  VAMP3  BET1 	[BET1, BET1L, BNIP1, GOSR1, GOSR2, SEC22B, SNAP23, SNAP25, SNAP29, SNAP47, STX10, STX11, STX16, STX17, STX18, STX19, STX1A, STX1B, STX2, STX3, STX4, STX5, STX6, STX7, STX8, USE1, VAMP1, VAMP2, VAMP3, VAMP4, VAMP5, VAMP7, VAMP8, VTI1A, VTI1B, YKT6]
KEGG:00280	Valine, leucine and isoleucine degradation	15	5.97E-35	36	44	 ECHS1  ABAT  HSD17B10  ACAT2  ACAT1  MCEE  AUH  ALDH1B1  ALDH2  OXCT1  DBT  AOX1  OXCT2  ACADM  HMGCS2  ACAA1  HADH  ACADS  MCCC2  ACAD8  BCKDHA  MCCC1  BCKDHB  ACADSB  ALDH3A2  HADHB  ALDH6A1  PCCA  EHHADH  IVD  PCCB  BCAT1  DLD  ALDH7A1  BCAT2  ALDH9A1 	[ABAT, ACAA1, ACAA2, ACAD8, ACADM, ACADS, ACADSB, ACAT1, ACAT2, ALDH1B1, ALDH2, ALDH3A2, ALDH6A1, ALDH7A1, ALDH9A1, AOX1, AUH, BCAT1, BCAT2, BCKDHA, BCKDHB, DBT, DLD, ECHS1, EHHADH, HADH, HADHA, HADHB, HIBADH, HIBCH, HMGCL, HMGCS1, HMGCS2, HSD17B10, IL4I1, IVD, MCCC1, MCCC2, MCEE, MUT, OXCT1, OXCT2, PCCA, PCCB]
KEGG:00230	Purine metabolism	7	7.61E-34	54	166	 GUCY1B3  GDA  PDE3B  PNP  PDE4B  PDE4A  PDE8B  GUCY1A3  GUCY1A2  ENTPD1  ENTPD2  ENTPD4  PDE4D  ENTPD5  PDE4C  ENTPD6  ADCY9  NME7  PDE5A  PDE9A  GUCY2C  GUCY2D  PDE1C  PDE1B  NPR1  PDE1A  NPR2  AK1  ADCY4  ADCY3  ADCY2  AK5  ADCY1  ADCY8  NT5C2  AK7  ADCY7  ADCY6  ADCY5  NT5C  PDE11A  NT5E  PDE6D  PDE6C  PDE6A  PDE6G  PDE2A  ADCY10  PDE10A  NT5C1B  PDE3A  PDE7B  ADA  ITPA 	[ADA, ADCY1, ADCY10, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADK, ADSL, ADSS, ADSSL1, AK1, AK2, AK4, AK5, AK7, ALLC, AMPD1, AMPD2, AMPD3, APRT, ATIC, C17orf48, CANT1, DCK, DGUOK, ENPP1, ENPP3, ENTPD1, ENTPD2, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, FHIT, GART, GDA, GMPR, GMPR2, GMPS, GUCY1A2, GUCY1A3, GUCY1B3, GUCY2C, GUCY2D, GUCY2F, GUK1, HDDC3, HPRT1, IMPDH1, IMPDH2, ITPA, LOC100507855, NME1, NME1-NME2, NME2, NME3, NME4, NME5, NME6, NME7, NPR1, NPR2, NT5C, NT5C1A, NT5C1B, NT5C2, NT5C3, NT5E, NT5M, NTPCR, NUDT2, NUDT5, NUDT9, PAICS, PAPSS1, PAPSS2, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PFAS, PGM1, PGM2, PKLR, PKM2, PNP, PNPT1, POLA1, POLA2, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, POLR1A, POLR1B, POLR1C, POLR1D, POLR1E, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2J2, POLR2J3, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K, PPAT, PRHOXNB, PRIM1, PRIM2, PRPS1, PRPS1L1, PRPS2, PRUNE, RRM1, RRM2, RRM2B, TWISTNB, XDH, ZNRD1]
KEGG:04728	Dopaminergic synapse	207	3.27E-33	107	130	 ATF2  CALML5  PPP2R2A  CALML3  COMT  PPP1CB  PPP2R1B  PPP2R1A  KIF5B  AKT2  PRKACG  KIF5A  AKT3  AKT1  PRKACA  PRKACB  SCN1A  PRKCG  PRKCB  PRKCA  CLOCK  ATF4  GRIA1  GRIA2  MAOB  MAOA  ITPR1  CACNA1B  ITPR2  CACNA1A  ITPR3  CACNA1C  GRIN2A  GNG10  DRD1  DRD2  DRD3  GRIA4  GNG12  GRIN2B  GNG11  GNG13  GNAO1  TH  GNB2  GNAQ  GNB1  GNAS  GNB3  CALM3  GNB5  CALM1  CALM2  GSK3B  ARRB2  SLC6A3  GNGT1  PPP3CA  PPP3CB  GNGT2  PPP3CC  PPP2R5E  PPP2R5B  PPP2R5A  PPP2R5D  FOS  PPP2R5C  CREB3  PLCB3  CREB1  PLCB4  PLCB1  PLCB2  CREB5  CAMK2B  CAMK2D  DDC  CAMK2A  GNAI3  GNAI1  ADCY5  GNAI2  ARNTL  PPP2CA  MAPK9  PPP2CB  MAPK8  GNG3  GNG2  GNG5  GNG4  GNG7  GNG8  CAMK2G  KCNJ3  KCNJ5  KCNJ6  PPP2R3A  MAPK14  MAPK12  MAPK13  PPP1CA  MAPK10  MAPK11  PPP2R2C  PPP2R2B  PPP2R2D 	[ADCY5, AKT1, AKT2, AKT3, ARNTL, ARRB2, ATF2, ATF4, ATF6B, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CALM1, CALM2, CALM3, CALML3, CALML5, CALML6, CALY, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CLOCK, COMT, CREB1, CREB3, CREB3L1, CREB3L2, CREB3L3, CREB3L4, CREB5, DDC, DRD1, DRD2, DRD3, DRD4, DRD5, FOS, GNAI1, GNAI2, GNAI3, GNAL, GNAO1, GNAQ, GNAS, GNB1, GNB2, GNB3, GNB4, GNB5, GNG10, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNGT1, GNGT2, GRIA1, GRIA2, GRIA3, GRIA4, GRIN2A, GRIN2B, GSK3A, GSK3B, ITPR1, ITPR2, ITPR3, KCNJ3, KCNJ5, KCNJ6, KCNJ9, KIF5A, KIF5B, KIF5C, MAOA, MAOB, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK8, MAPK9, PLCB1, PLCB2, PLCB3, PLCB4, PPP1CA, PPP1CB, PPP1CC, PPP1R1B, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R2D, PPP2R3A, PPP2R3B, PPP2R3C, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP3CA, PPP3CB, PPP3CC, PRKACA, PRKACB, PRKACG, PRKCA, PRKCB, PRKCG, PRKX, SCN1A, SLC18A1, SLC18A2, SLC6A3, TH]
KEGG:04350	TGF-beta signaling pathway	79	5.03E-29	62	84	 BMPR2  ZFYVE9  COMP  PPP2R1B  PPP2R1A  MYC  EP300  ACVR1  FST  NOG  DCN  TGFBR1  RHOA  TGFBR2  RBX1  RBL2  TFDP1  RBL1  CUL1  CHRD  THBS2  LTBP1  THBS1  THBS3  PPP2CA  ACVR1C  MAPK1  E2F4  MAPK3  SMAD2  SMAD1  CREBBP  SMAD4  TGFB2  CDKN2B  TGFB1  SMAD3  SMURF2  SMURF1  TGFB3  SMAD9  BMP8B  INHBA  GDF6  SMAD6  SMAD5  BMP7  GDF5  ACVR2B  ACVR2A  BMP6  SMAD7  BMP5  GDF7  BMP4  BMP2  RPS6KB1  ID2  ID4  ID3  BMPR1B  BMPR1A 	[ACVR1, ACVR1C, ACVR2A, ACVR2B, AMH, AMHR2, BMP2, BMP4, BMP5, BMP6, BMP7, BMP8A, BMP8B, BMPR1A, BMPR1B, BMPR2, CDKN2B, CHRD, COMP, CREBBP, CUL1, DCN, E2F4, E2F5, EP300, FST, GDF5, GDF6, GDF7, ID1, ID2, ID3, ID4, IFNG, INHBA, INHBB, INHBC, INHBE, LEFTY1, LEFTY2, LTBP1, MAPK1, MAPK3, MYC, NODAL, NOG, PITX2, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, RBL1, RBL2, RBX1, RHOA, ROCK1, ROCK2, RPS6KB1, RPS6KB2, SKP1, SMAD1, SMAD2, SMAD3, SMAD4, SMAD5, SMAD6, SMAD7, SMAD9, SMURF1, SMURF2, SP1, TFDP1, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, THBS1, THBS2, THBS3, THBS4, TNF, ZFYVE16, ZFYVE9]
KEGG:04012	ErbB signaling pathway	371	1.60E-28	84	87	 GSK3B  CDKN1A  CDKN1B  ARAF  CBLC  PIK3CD  CBLB  PIK3CB  ELK1  AREG  PIK3CG  CRKL  AKT2  MYC  AKT3  NCK2  AKT1  HRAS  NCK1  PRKCG  MAP2K4  MAP2K1  MAP2K2  PRKCB  GAB1  PRKCA  NRG1  NRG2  EREG  BTC  PIK3CA  NRG3  NRG4  SOS1  RAF1  CRK  SOS2  HBEGF  CAMK2B  CAMK2D  SHC3  SHC1  SRC  CAMK2A  PIK3R3  TGFA  PIK3R2  PIK3R1  CBL  EGFR  PIK3R5  MAPK9  PAK1  MAPK8  NRAS  ERBB3  ERBB4  ERBB2  ABL1  PLCG2  PAK7  EIF4EBP1  MAPK1  PAK6  ABL2  PLCG1  MAP2K7  PAK2  CAMK2G  MAPK3  PAK4  STAT5A  STAT5B  JUN  BAD  EGF  BRAF  PTK2  MTOR  MAPK10  RPS6KB1  RPS6KB2  GRB2  KRAS 	[ABL1, ABL2, AKT1, AKT2, AKT3, ARAF, AREG, BAD, BRAF, BTC, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CBL, CBLB, CBLC, CDKN1A, CDKN1B, CRK, CRKL, EGF, EGFR, EIF4EBP1, ELK1, ERBB2, ERBB3, ERBB4, EREG, GAB1, GRB2, GSK3B, HBEGF, HRAS, JUN, KRAS, MAP2K1, MAP2K2, MAP2K4, MAP2K7, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MTOR, MYC, NCK1, NCK2, NRAS, NRG1, NRG2, NRG3, NRG4, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTK2, RAF1, RPS6KB1, RPS6KB2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SRC, STAT5A, STAT5B, TGFA]
KEGG:04062	Chemokine signaling pathway	47	5.24E-28	107	189	 CRKL  PRKACG  AKT2  AKT3  AKT1  PRKACA  PRKACB  MAP2K1  PRKCB  PRKCD  TIAM2  TIAM1  ADCY9  PARD3  ELMO1  RAF1  SHC3  CCL3L1  SHC1  PXN  PIK3R3  PIK3R2  PIK3R1  RASGRP2  PRKCZ  GRK1  GNG10  RAP1A  GRK5  GRK4  GRK6  CCR10  STAT5B  BRAF  GNG12  GNG11  NFKB1  PTK2  GNG13  NFKBIA  CXCL12  GNB2  GNB1  GNB3  GRB2  GNB5  NFKBIB  ITK  GSK3B  PIK3CD  ARRB1  PIK3CB  ARRB2  IKBKB  GNGT1  GNGT2  RAC2  RAC1  JAK2  HRAS  VAV3  CHUK  VAV1  VAV2  FGR  HCK  PLCB3  PLCB4  PIK3CA  PLCB1  SOS1  DOCK2  CRK  PLCB2  SRC  GNAI3  WAS  CXCR4  ADCY3  ADCY2  ADCY8  GNAI1  ADCY6  ADCY5  GNAI2  CDC42  PAK1  GNG3  NRAS  GNG2  CCL8  GNG5  GNG4  ADRBK2  GNG7  ADRBK1  MAPK1  PTK2B  GNG8  CCL17  MAPK3  CCL22  STAT1  CCL20  STAT3  KRAS  BCAR1 	[ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADRBK1, ADRBK2, AKT1, AKT2, AKT3, ARRB1, ARRB2, BCAR1, BRAF, CCL1, CCL11, CCL13, CCL14, CCL15, CCL16, CCL17, CCL18, CCL19, CCL2, CCL20, CCL21, CCL22, CCL23, CCL24, CCL25, CCL26, CCL27, CCL28, CCL3, CCL3L1, CCL3L3, CCL4, CCL4L1, CCL4L2, CCL5, CCL7, CCL8, CCR1, CCR10, CCR2, CCR3, CCR4, CCR5, CCR6, CCR7, CCR8, CCR9, CDC42, CHUK, CRK, CRKL, CX3CL1, CX3CR1, CXCL1, CXCL10, CXCL11, CXCL12, CXCL13, CXCL14, CXCL16, CXCL2, CXCL3, CXCL5, CXCL6, CXCL9, CXCR1, CXCR2, CXCR3, CXCR4, CXCR5, CXCR6, DOCK2, ELMO1, FGR, FOXO3, GNAI1, GNAI2, GNAI3, GNB1, GNB2, GNB3, GNB4, GNB5, GNG10, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNGT1, GNGT2, GRB2, GRK1, GRK4, GRK5, GRK6, GRK7, GSK3A, GSK3B, HCK, HRAS, IKBKB, IKBKG, IL8, ITK, JAK2, JAK3, KRAS, LYN, MAP2K1, MAPK1, MAPK3, NCF1, NFKB1, NFKBIA, NFKBIB, NRAS, PAK1, PARD3, PF4, PF4V1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCB1, PLCB2, PLCB3, PLCB4, PPBP, PREX1, PRKACA, PRKACB, PRKACG, PRKCB, PRKCD, PRKCZ, PRKX, PTK2, PTK2B, PXN, RAC1, RAC2, RAF1, RAP1A, RAP1B, RASGRP2, RELA, RHOA, ROCK1, ROCK2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SRC, STAT1, STAT2, STAT3, STAT5B, TIAM1, TIAM2, VAV1, VAV2, VAV3, WAS, WASL, XCL1, XCL2, XCR1]
KEGG:04724	Glutamatergic synapse	65	3.47E-27	81	126	 GRIK3  GRIK1  GRIK2  GLS  GNGT1  PPP3CA  GRM5  GRM4  GNGT2  GRM7  GRM6  PRKACG  GRM8  DLGAP1  HOMER3  PRKACA  PRKACB  PRKCG  PRKCB  TRPC1  PLA2G4A  PRKCA  PLCB3  PLCB4  ADCY9  PLCB1  PLCB2  SHANK2  SHANK1  GRIA1  GRIA2  GLS2  ITPR1  GNAI3  ADCY4  ADCY3  ITPR2  CACNA1A  ITPR3  ADCY2  CACNA1C  ADCY1  PLD1  ADCY8  ADCY7  GNAI1  ADCY6  PLD2  ADCY5  GNAI2  GRIN2A  GNG10  PPP3R1  GNG3  GNG2  GNG5  GNG4  GNG7  ADRBK1  MAPK1  GNG8  KCNJ3  MAPK3  GRIA4  HOMER1  HOMER2  GRIN2C  GNG12  GRIN2B  GNG11  GRIN1  GNG13  GRIN2D  GNAO1  DLG4  GNB2  GNAQ  GNB1  GNAS  GNB3  GNB5 	[ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADRBK1, ADRBK2, CACNA1A, CACNA1C, CACNA1D, CHP, CHP2, DLG4, DLGAP1, GLS, GLS2, GLUL, GNAI1, GNAI2, GNAI3, GNAO1, GNAQ, GNAS, GNB1, GNB2, GNB3, GNB4, GNB5, GNG10, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNGT1, GNGT2, GRIA1, GRIA2, GRIA3, GRIA4, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM1, GRM2, GRM3, GRM4, GRM5, GRM6, GRM7, GRM8, HOMER1, HOMER2, HOMER3, ITPR1, ITPR2, ITPR3, JMJD7-PLA2G4B, KCNJ3, MAPK1, MAPK3, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4E, PLA2G5, PLA2G6, PLCB1, PLCB2, PLCB3, PLCB4, PLD1, PLD2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKACA, PRKACB, PRKACG, PRKCA, PRKCB, PRKCG, PRKX, SHANK1, SHANK2, SHANK3, SLC17A6, SLC17A7, SLC17A8, SLC1A1, SLC1A2, SLC1A3, SLC1A6, SLC1A7, SLC38A1, SLC38A2, SLC38A3, TRPC1]
