Name	chi2Pvalue	empPvalue
KEGG_ABC_TRANSPORTERS	2.66E-03	1.73E-03
KEGG_ACUTE_MYELOID_LEUKEMIA	1.24E-02	5.98E-03
KEGG_ADHERENS_JUNCTION	1.83E-03	8.80E-04
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.32E-02	1.37E-02
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	9.22E-01	8.46E-01
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	5.11E-03	7.01E-03
KEGG_ALLOGRAFT_REJECTION	4.21E-01	5.18E-01
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	5.60E-01	6.37E-01
KEGG_ALZHEIMERS_DISEASE	5.80E-03	5.65E-03
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	7.50E-01	7.99E-01
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	3.35E-01	3.70E-01
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3.84E-01	3.81E-01
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	9.83E-01	9.74E-01
KEGG_APOPTOSIS	2.22E-01	2.88E-01
KEGG_ARACHIDONIC_ACID_METABOLISM	9.73E-01	9.77E-01
KEGG_ARGININE_AND_PROLINE_METABOLISM	9.92E-01	9.86E-01
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2.05E-07	0.00E+00
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	6.07E-01	4.51E-01
KEGG_ASTHMA	2.80E-01	2.77E-01
KEGG_AUTOIMMUNE_THYROID_DISEASE	3.81E-01	4.65E-01
KEGG_AXON_GUIDANCE	1.40E-03	3.69E-03
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2.47E-03	3.07E-03
KEGG_BASAL_CELL_CARCINOMA	2.23E-02	9.03E-03
KEGG_BASAL_TRANSCRIPTION_FACTORS	7.09E-01	7.85E-01
KEGG_BASE_EXCISION_REPAIR	5.53E-01	5.11E-01
KEGG_BETA_ALANINE_METABOLISM	2.46E-01	2.41E-01
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.36E-01	1.55E-01
KEGG_BLADDER_CANCER	2.15E-01	2.07E-01
KEGG_BUTANOATE_METABOLISM	8.46E-01	7.13E-01
KEGG_CALCIUM_SIGNALING_PATHWAY	4.83E-06	8.80E-06
KEGG_CARDIAC_MUSCLE_CONTRACTION	4.53E-03	1.06E-02
KEGG_CELL_ADHESION_MOLECULES_CAMS	7.60E-05	2.46E-04
KEGG_CELL_CYCLE	6.27E-01	5.94E-01
KEGG_CHEMOKINE_SIGNALING_PATHWAY	3.56E-04	1.61E-04
KEGG_CHRONIC_MYELOID_LEUKEMIA	5.09E-03	1.06E-02
KEGG_CIRCADIAN_RHYTHM_MAMMAL	7.96E-01	8.60E-01
KEGG_CITRATE_CYCLE_TCA_CYCLE	5.87E-01	7.98E-01
KEGG_COLORECTAL_CANCER	1.23E-02	6.45E-03
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	5.74E-01	6.40E-01
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	8.02E-01	7.22E-01
