Name	chi2Pvalue	empPvalue
KEGG_ABC_TRANSPORTERS	6.61E-02	6.23E-02
KEGG_ACUTE_MYELOID_LEUKEMIA	2.09E-02	1.89E-02
KEGG_ADHERENS_JUNCTION	4.73E-02	4.55E-02
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	3.71E-03	6.25E-03
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	6.55E-01	6.78E-01
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	4.62E-02	3.27E-02
KEGG_ALLOGRAFT_REJECTION	9.24E-01	9.11E-01
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2.12E-01	2.27E-01
KEGG_ALZHEIMERS_DISEASE	1.38E-01	1.35E-01
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	4.78E-01	4.28E-01
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	4.30E-01	4.49E-01
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.33E-01	1.43E-01
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	4.95E-01	3.87E-01
KEGG_APOPTOSIS	6.09E-02	8.05E-02
KEGG_ARACHIDONIC_ACID_METABOLISM	5.45E-01	5.43E-01
KEGG_ARGININE_AND_PROLINE_METABOLISM	5.09E-01	5.15E-01
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1.13E-02	1.33E-02
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	6.62E-01	6.16E-01
KEGG_ASTHMA	8.90E-01	8.77E-01
KEGG_AUTOIMMUNE_THYROID_DISEASE	8.81E-01	8.63E-01
KEGG_AXON_GUIDANCE	3.66E-02	7.15E-02
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	9.44E-02	1.34E-01
KEGG_BASAL_CELL_CARCINOMA	1.39E-01	9.96E-02
KEGG_BASAL_TRANSCRIPTION_FACTORS	6.25E-01	6.42E-01
KEGG_BASE_EXCISION_REPAIR	4.71E-01	4.48E-01
KEGG_BETA_ALANINE_METABOLISM	2.65E-01	3.27E-01
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	2.06E-01	2.49E-01
KEGG_BLADDER_CANCER	5.73E-04	1.79E-03
KEGG_BUTANOATE_METABOLISM	3.97E-01	4.19E-01
KEGG_CALCIUM_SIGNALING_PATHWAY	9.27E-04	1.79E-03
KEGG_CARDIAC_MUSCLE_CONTRACTION	2.21E-01	3.26E-01
KEGG_CELL_ADHESION_MOLECULES_CAMS	5.12E-01	4.77E-01
KEGG_CELL_CYCLE	9.43E-05	3.16E-04
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.99E-02	3.38E-02
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.00E-04	8.10E-04
KEGG_CIRCADIAN_RHYTHM_MAMMAL	2.48E-01	2.64E-01
KEGG_CITRATE_CYCLE_TCA_CYCLE	7.59E-01	7.94E-01
KEGG_COLORECTAL_CANCER	4.10E-02	3.07E-02
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	8.39E-01	7.89E-01
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.75E-02	2.05E-02
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.55E-01	1.39E-01
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	2.89E-01	3.00E-01
KEGG_DILATED_CARDIOMYOPATHY	9.83E-04	2.22E-03
KEGG_DNA_REPLICATION	2.75E-01	2.86E-01
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1.40E-03	2.70E-03
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	5.34E-01	5.08E-01
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	8.34E-01	8.68E-01
KEGG_ECM_RECEPTOR_INTERACTION	1.54E-01	2.03E-01
KEGG_ENDOCYTOSIS	4.29E-02	8.45E-02
KEGG_ENDOMETRIAL_CANCER	3.21E-02	2.43E-02
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.07E-01	1.45E-01
KEGG_ERBB_SIGNALING_PATHWAY	6.27E-03	1.08E-02
KEGG_ETHER_LIPID_METABOLISM	4.41E-01	4.04E-01
KEGG_FATTY_ACID_METABOLISM	2.80E-01	2.84E-01
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	7.62E-02	7.62E-02
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.77E-01	2.48E-01
KEGG_FOCAL_ADHESION	5.57E-06	3.51E-05
KEGG_FOLATE_BIOSYNTHESIS	5.68E-01	6.05E-01
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	3.96E-01	4.60E-01
KEGG_GALACTOSE_METABOLISM	1.53E-01	1.87E-01
KEGG_GAP_JUNCTION	1.26E-03	2.89E-03
KEGG_GLIOMA	1.38E-04	9.10E-04
KEGG_GLUTATHIONE_METABOLISM	2.43E-01	2.34E-01
KEGG_GLYCEROLIPID_METABOLISM	5.23E-03	1.91E-03
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.67E-01	1.26E-01
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	4.64E-01	4.66E-01
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	7.01E-02	9.56E-02
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	6.28E-01	6.20E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	6.02E-01	6.35E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	3.80E-01	3.99E-01
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.39E-01	1.78E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	4.75E-01	4.86E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	3.90E-01	4.05E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	5.65E-01	5.71E-01
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	8.90E-01	8.70E-01
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	8.72E-01	8.83E-01
KEGG_GNRH_SIGNALING_PATHWAY	2.66E-04	2.89E-04
KEGG_GRAFT_VERSUS_HOST_DISEASE	7.66E-01	7.66E-01
KEGG_HEDGEHOG_SIGNALING_PATHWAY	2.25E-01	2.08E-01
KEGG_HEMATOPOIETIC_CELL_LINEAGE	2.79E-01	2.02E-01
KEGG_HISTIDINE_METABOLISM	2.82E-01	2.69E-01
KEGG_HOMOLOGOUS_RECOMBINATION	2.66E-01	3.12E-01
KEGG_HUNTINGTONS_DISEASE	2.07E-01	2.15E-01
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1.85E-02	3.89E-02
KEGG_INOSITOL_PHOSPHATE_METABOLISM	5.21E-02	8.17E-02
KEGG_INSULIN_SIGNALING_PATHWAY	6.23E-04	8.10E-04
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	6.27E-01	6.82E-01
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.49E-02	1.08E-02
KEGG_LEISHMANIA_INFECTION	4.23E-01	5.32E-01
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	3.01E-02	3.32E-02
KEGG_LIMONENE_AND_PINENE_DEGRADATION	5.31E-01	5.19E-01
KEGG_LINOLEIC_ACID_METABOLISM	1.47E-01	1.58E-01
KEGG_LONG_TERM_DEPRESSION	6.56E-03	1.04E-02
KEGG_LONG_TERM_POTENTIATION	4.35E-02	5.90E-02
KEGG_LYSINE_DEGRADATION	1.72E-01	1.40E-01
KEGG_LYSOSOME	3.61E-01	3.31E-01
KEGG_MAPK_SIGNALING_PATHWAY	1.29E-05	5.17E-05
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	5.06E-09	0.00E+00
KEGG_MELANOGENESIS	3.74E-02	2.80E-02
KEGG_MELANOMA	1.19E-04	6.20E-04
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	5.72E-01	5.67E-01
KEGG_MISMATCH_REPAIR	7.85E-02	9.02E-02
KEGG_MTOR_SIGNALING_PATHWAY	1.88E-01	2.17E-01
KEGG_N_GLYCAN_BIOSYNTHESIS	5.06E-01	3.88E-01
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.50E-01	2.28E-01
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1.33E-03	3.30E-03
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	2.77E-03	5.61E-03
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	3.50E-01	3.67E-01
KEGG_NITROGEN_METABOLISM	9.16E-01	9.08E-01
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.33E-01	1.73E-01
KEGG_NON_HOMOLOGOUS_END_JOINING	6.41E-01	6.53E-01
KEGG_NON_SMALL_CELL_LUNG_CANCER	8.87E-04	3.25E-03
KEGG_NOTCH_SIGNALING_PATHWAY	3.18E-02	7.11E-02
KEGG_NUCLEOTIDE_EXCISION_REPAIR	7.98E-02	9.12E-02
KEGG_O_GLYCAN_BIOSYNTHESIS	1.90E-01	2.78E-01
KEGG_OLFACTORY_TRANSDUCTION	2.09E-01	3.24E-01
KEGG_ONE_CARBON_POOL_BY_FOLATE	6.28E-01	6.28E-01
KEGG_OOCYTE_MEIOSIS	7.04E-03	8.11E-03
KEGG_OTHER_GLYCAN_DEGRADATION	2.02E-01	2.16E-01
KEGG_OXIDATIVE_PHOSPHORYLATION	8.01E-01	7.94E-01
KEGG_P53_SIGNALING_PATHWAY	1.15E-01	1.71E-01
KEGG_PANCREATIC_CANCER	3.44E-03	1.27E-02
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1.43E-01	2.01E-01
KEGG_PARKINSONS_DISEASE	5.20E-01	5.43E-01
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	9.98E-01	9.98E-01
KEGG_PATHWAYS_IN_CANCER	3.80E-08	1.00E-07
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	9.75E-01	9.49E-01
KEGG_PENTOSE_PHOSPHATE_PATHWAY	5.25E-01	5.71E-01
KEGG_PEROXISOME	7.84E-01	7.80E-01
KEGG_PHENYLALANINE_METABOLISM	2.66E-01	3.03E-01
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	2.88E-03	4.85E-03
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	9.27E-01	9.10E-01
KEGG_PPAR_SIGNALING_PATHWAY	1.87E-01	1.66E-01
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	4.14E-01	4.14E-01
KEGG_PRIMARY_IMMUNODEFICIENCY	9.14E-01	8.97E-01
KEGG_PRION_DISEASES	6.90E-01	6.86E-01
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.74E-02	2.32E-02
KEGG_PROPANOATE_METABOLISM	9.06E-01	9.13E-01
KEGG_PROSTATE_CANCER	5.73E-07	1.70E-06
KEGG_PROTEASOME	2.47E-01	2.65E-01
KEGG_PROTEIN_EXPORT	3.74E-01	2.92E-01
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	5.10E-01	5.35E-01
KEGG_PURINE_METABOLISM	4.93E-03	5.90E-03
KEGG_PYRIMIDINE_METABOLISM	7.70E-01	8.29E-01
KEGG_PYRUVATE_METABOLISM	5.05E-01	5.39E-01
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2.67E-03	4.76E-03
KEGG_REGULATION_OF_AUTOPHAGY	4.75E-02	5.92E-02
KEGG_RENAL_CELL_CARCINOMA	9.85E-02	1.30E-01
KEGG_RENIN_ANGIOTENSIN_SYSTEM	2.61E-01	2.15E-01
KEGG_RETINOL_METABOLISM	3.63E-01	2.35E-01
KEGG_RIBOFLAVIN_METABOLISM	4.01E-01	4.38E-01
KEGG_RIBOSOME	6.54E-01	5.66E-01
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.55E-01	1.92E-01
KEGG_RNA_DEGRADATION	9.03E-01	8.98E-01
KEGG_RNA_POLYMERASE	7.91E-01	8.19E-01
KEGG_SELENOAMINO_ACID_METABOLISM	4.51E-01	4.68E-01
KEGG_SMALL_CELL_LUNG_CANCER	1.02E-04	2.01E-04
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	9.47E-02	1.20E-01
KEGG_SPHINGOLIPID_METABOLISM	7.66E-01	7.86E-01
KEGG_SPLICEOSOME	3.81E-01	4.54E-01
KEGG_STARCH_AND_SUCROSE_METABOLISM	4.43E-01	4.02E-01
KEGG_STEROID_BIOSYNTHESIS	8.12E-01	8.34E-01
KEGG_STEROID_HORMONE_BIOSYNTHESIS	4.36E-01	4.79E-01
