GOID	Ontology Source	GOTerm	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni	Group PValue	Group PValue Corrected with Bonferroni	Associated Genes Found	All Associated Genes	OverViewTerm
KEGG:04722	KEGG_14.03.2012	Neurotrophin signaling pathway	[-1]	[Group1]	76	59.842518	2.17E-60	2.08E-58	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[ABL1, AKT1, AKT2, AKT3, BAD, BCL2, BRAF, CALM1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CDC42, CRK, CRKL, FASLG, FOXO3, FRS2, GAB1, GRB2, GSK3B, HRAS, IKBKB, IRS2, IRS4, JUN, MAP2K1, MAP2K2, MAP3K5, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MATK, NFKB1, NTRK1, NTRK2, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PRKCD, PSEN1, PTPN11, RAC1, RAF1, RAPGEF1, RELA, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA5, SH2B1, SH2B2, SH2B3, SHC1, SHC2, SHC3, SOS1, SOS2, TP53, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ]	[ABL1, AKT1, AKT2, AKT3, ARHGDIA, ARHGDIB, ATF4, BAD, BAX, BCL2, BDNF, BRAF, CALM1, CALM2, CALM3, CALML3, CALML5, CALML6, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CDC42, CRK, CRKL, FASLG, FOXO3, FRS2, GAB1, GRB2, GSK3B, HRAS, IKBKB, IRAK1, IRAK2, IRAK3, IRAK4, IRS1, IRS2, IRS4, JUN, KIDINS220, KRAS, MAGED1, MAP2K1, MAP2K2, MAP2K5, MAP2K7, MAP3K1, MAP3K3, MAP3K5, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MATK, NFKB1, NFKBIA, NFKBIB, NFKBIE, NGF, NGFR, NGFRAP1, NRAS, NTF3, NTF4, NTRK1, NTRK2, NTRK3, PDK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRDM4, PRKCD, PSEN1, PSEN2, PTPN11, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RELA, RHOA, RIPK2, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, SH2B1, SH2B2, SH2B3, SHC1, SHC2, SHC3, SHC4, SORT1, SOS1, SOS2, TP53, TP73, TRAF6, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZNF274]	TRUE
KEGG:04012	KEGG_14.03.2012	ErbB signaling pathway	[-1]	[Group1]	62	71.264366	2.85E-56	2.74E-54	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[ABL1, ABL2, AKT1, AKT2, AKT3, BAD, BRAF, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CBL, CBLB, CBLC, CDKN1A, CDKN1B, CRK, CRKL, EGFR, ELK1, ERBB2, ERBB3, ERBB4, GAB1, GRB2, GSK3B, HRAS, JUN, MAP2K1, MAP2K2, MAP2K4, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, NCK1, NCK2, PAK1, PAK2, PAK3, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTK2, RAF1, RPS6KB1, RPS6KB2, SHC1, SHC2, SHC3, SOS1, SOS2, SRC, STAT5A, STAT5B]	[ABL1, ABL2, AKT1, AKT2, AKT3, ARAF, AREG, BAD, BRAF, BTC, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CBL, CBLB, CBLC, CDKN1A, CDKN1B, CRK, CRKL, EGF, EGFR, EIF4EBP1, ELK1, ERBB2, ERBB3, ERBB4, EREG, GAB1, GRB2, GSK3B, HBEGF, HRAS, JUN, KRAS, MAP2K1, MAP2K2, MAP2K4, MAP2K7, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MTOR, MYC, NCK1, NCK2, NRAS, NRG1, NRG2, NRG3, NRG4, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTK2, RAF1, RPS6KB1, RPS6KB2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SRC, STAT5A, STAT5B, TGFA]	FALSE
KEGG:04660	KEGG_14.03.2012	T cell receptor signaling pathway	[-1]	[Group1]	59	54.62963	1.78E-43	1.71E-41	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[AKT1, AKT2, AKT3, CBL, CBLB, CBLC, CD247, CD28, CD3E, CD3G, CDC42, CDK4, DLG1, FOS, FYN, GRAP2, GRB2, GSK3B, HRAS, IKBKB, ITK, JUN, LAT, LCK, LCP2, MAP2K1, MAP2K2, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK9, NCK1, NCK2, NFATC4, NFKB1, PAK1, PAK2, PAK3, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG1, PPP3CA, PRKCQ, PTPN6, PTPRC, RAF1, RELA, SOS1, SOS2, TEC, VAV1, VAV2, VAV3, ZAP70]	[AKT1, AKT2, AKT3, BCL10, CARD11, CBL, CBLB, CBLC, CD247, CD28, CD3D, CD3E, CD3G, CD4, CD40LG, CD8A, CD8B, CDC42, CDK4, CHP, CHP2, CHUK, CSF2, CTLA4, DLG1, FOS, FYN, GRAP2, GRB2, GSK3B, HRAS, ICOS, IFNG, IKBKB, IKBKG, IL10, IL2, IL4, IL5, ITK, JUN, KRAS, LAT, LCK, LCP2, MALT1, MAP2K1, MAP2K2, MAP2K7, MAP3K14, MAP3K7, MAP3K8, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK9, NCK1, NCK2, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PDCD1, PDK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCQ, PTPN6, PTPRC, RAF1, RASGRP1, RELA, RHOA, SOS1, SOS2, TEC, TNF, VAV1, VAV2, VAV3, ZAP70]	FALSE
KEGG:04666	KEGG_14.03.2012	Fc gamma R-mediated phagocytosis	[-1]	[Group1]	51	53.125	9.14E-37	8.78E-35	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[AKT1, AKT2, AKT3, AMPH, ASAP1, ASAP2, CDC42, CRK, CRKL, DNM1, DNM2, FCGR1A, FCGR2B, FCGR2C, GAB2, GSN, HCK, INPP5D, LAT, LYN, MAP2K1, MAPK1, MAPK3, MARCKSL1, NCF1, PAK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLA2G4A, PLCG1, PLCG2, PLD1, PLD2, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PTPRC, RAC1, RAF1, RPS6KB1, RPS6KB2, SYK, VAV1, VAV2, VAV3, WAS, WASL]	[AKT1, AKT2, AKT3, AMPH, ARF6, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, ARPC5L, ASAP1, ASAP2, ASAP3, CDC42, CFL1, CFL2, CRK, CRKL, DNM1, DNM1L, DNM2, DNM3, DOCK2, FCGR1A, FCGR2A, FCGR2B, FCGR2C, FCGR3A, GAB2, GSN, HCK, INPP5D, LAT, LIMK1, LIMK2, LOC100132941, LOC100291917, LYN, MAP2K1, MAPK1, MAPK3, MARCKS, MARCKSL1, MYO10, NCF1, PAK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIP5K1A, PIP5K1B, PIP5K1C, PLA2G4A, PLA2G4B, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G6, PLCG1, PLCG2, PLD1, PLD2, PPAP2A, PPAP2B, PPAP2C, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PTPRC, RAC1, RAC2, RAF1, RPS6KB1, RPS6KB2, SCIN, SPHK1, SPHK2, SYK, VASP, VAV1, VAV2, VAV3, WAS, WASF1, WASF2, WASF3, WASL]	FALSE
KEGG:04510	KEGG_14.03.2012	Focal adhesion	[-1]	[Group1]	70	35	1.55E-35	1.48E-33	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[ACTN1, ACTN4, AKT1, AKT2, AKT3, BAD, BCAR1, BCL2, BRAF, CAV1, CCND1, CDC42, CRK, CRKL, CTNNB1, DOCK1, EGFR, ELK1, ERBB2, FLNA, FLT1, FYN, GRB2, GSK3B, HRAS, IGF1R, ITGB1, ITGB3, ITGB4, JUN, KDR, MAP2K1, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MET, MYLK, PAK1, PAK2, PAK3, PDGFRA, PDGFRB, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PPP1CA, PRKCA, PRKCB, PRKCG, PTEN, PTK2, PXN, RAC1, RAF1, RAPGEF1, SHC1, SHC2, SHC3, SOS1, SOS2, SRC, TLN1, VAV1, VAV2, VAV3, VCL]	[ACTB, ACTG1, ACTN1, ACTN2, ACTN3, ACTN4, AKT1, AKT2, AKT3, ARHGAP5, BAD, BCAR1, BCL2, BIRC2, BIRC3, BRAF, CAPN2, CAV1, CAV2, CAV3, CCND1, CCND2, CCND3, CDC42, CHAD, COL11A1, COL11A2, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL6A6, COMP, CRK, CRKL, CTNNB1, DIAPH1, DOCK1, EGF, EGFR, ELK1, ERBB2, FIGF, FLNA, FLNB, FLNC, FLT1, FLT4, FN1, FYN, GRB2, GRLF1, GSK3B, HGF, HRAS, IBSP, IGF1, IGF1R, ILK, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, JUN, KDR, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMB4, LAMC1, LAMC2, LAMC3, MAP2K1, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MET, MYL10, MYL12A, MYL12B, MYL2, MYL5, MYL7, MYL9, MYLK, MYLK2, MYLK3, MYLPF, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PARVA, PARVB, PARVG, PDGFA, PDGFB, PDGFC, PDGFD, PDGFRA, PDGFRB, PDPK1, PGF, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIP5K1C, PPP1CA, PPP1CB, PPP1CC, PPP1R12A, PRKCA, PRKCB, PRKCG, PTEN, PTK2, PXN, RAC1, RAC2, RAC3, RAF1, RAP1A, RAP1B, RAPGEF1, RASGRF1, RELN, RHOA, ROCK1, ROCK2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SPP1, SRC, THBS1, THBS2, THBS3, THBS4, TLN1, TLN2, TNC, TNN, TNR, TNXB, VASP, VAV1, VAV2, VAV3, VCL, VEGFA, VEGFB, VEGFC, VTN, VWF, XIAP, ZYX]	FALSE
KEGG:05200	KEGG_14.03.2012	Pathways in cancer	[-1]	[Group1]	89	27.134146	1.94E-35	1.86E-33	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[ABL1, AKT1, AKT2, AKT3, AR, BAD, BCL2, BCR, BRAF, CASP3, CASP8, CASP9, CBL, CBLB, CBLC, CCND1, CDC42, CDH1, CDK2, CDK4, CDK6, CDKN1A, CDKN1B, CEBPA, CREBBP, CRK, CRKL, CSF1R, CSF3R, CTNNA1, CTNNB1, EGFR, EP300, ERBB2, ETS1, FASLG, FGFR1, FLT3, FOS, FOXO1, GRB2, GSK3B, HRAS, HSP90AA1, IGF1R, IKBKB, ITGB1, JAK1, JUN, JUP, KIT, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MET, NFKB1, NTRK1, PDGFRA, PDGFRB, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PLD1, PRKCA, PRKCB, PRKCG, PTEN, PTK2, RAC1, RAF1, RB1, RELA, RET, RXRA, SMAD3, SOS1, SOS2, STAT1, STAT3, STAT5A, STAT5B, TP53]	[ABL1, AKT1, AKT2, AKT3, APC, APC2, APPL1, AR, ARAF, ARNT, ARNT2, AXIN1, AXIN2, BAD, BAX, BCL2, BCL2L1, BCR, BID, BIRC2, BIRC3, BIRC5, BIRC7, BIRC8, BMP2, BMP4, BRAF, BRCA2, CASP3, CASP8, CASP9, CBL, CBLB, CBLC, CCDC6, CCNA1, CCND1, CCNE1, CCNE2, CDC42, CDH1, CDK2, CDK4, CDK6, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CEBPA, CHUK, CKS1B, COL4A1, COL4A2, COL4A4, COL4A5, COL4A6, CREBBP, CRK, CRKL, CSF1R, CSF2RA, CSF3R, CTBP1, CTBP2, CTNNA1, CTNNA2, CTNNA3, CTNNB1, CUL2, CYCS, DAPK1, DAPK2, DAPK3, DCC, DVL1, DVL2, DVL3, E2F1, E2F2, E2F3, EGF, EGFR, EGLN1, EGLN2, EGLN3, EP300, EPAS1, ERBB2, ETS1, FADD, FAS, FASLG, FGF1, FGF10, FGF11, FGF12, FGF13, FGF14, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF21, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FH, FIGF, FLT3, FLT3LG, FN1, FOS, FOXO1, FZD1, FZD10, FZD2, FZD3, FZD4, FZD5, FZD6, FZD7, FZD8, FZD9, GLI1, GLI2, GLI3, GRB2, GSK3B, GSTP1, HDAC1, HDAC2, HGF, HHIP, HIF1A, HRAS, HSP90AA1, HSP90AB1, HSP90B1, IGF1, IGF1R, IKBKB, IKBKG, IL6, IL8, ITGA2, ITGA2B, ITGA3, ITGA6, ITGAV, ITGB1, JAK1, JUN, JUP, KIT, KITLG, KLK3, KRAS, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMB4, LAMC1, LAMC2, LAMC3, LEF1, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MAX, MDM2, MECOM, MET, MITF, MLH1, MMP1, MMP2, MMP9, MSH2, MSH3, MSH6, MTOR, MYC, NCOA4, NFKB1, NFKB2, NFKBIA, NKX3-1, NOS2, NRAS, NTRK1, PAX8, PDGFA, PDGFB, PDGFRA, PDGFRB, PGF, PIAS1, PIAS2, PIAS3, PIAS4, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PLD1, PML, PPARD, PPARG, PRKCA, PRKCB, PRKCG, PTCH1, PTCH2, PTEN, PTGS2, PTK2, RAC1, RAC2, RAC3, RAD51, RAF1, RALA, RALB, RALBP1, RALGDS, RARA, RARB, RASSF1, RASSF5, RB1, RBX1, RELA, RET, RHOA, RUNX1, RUNX1T1, RXRA, RXRB, RXRG, SHH, SKP2, SLC2A1, SMAD2, SMAD3, SMAD4, SMO, SOS1, SOS2, SPI1, STAT1, STAT3, STAT5A, STAT5B, STK36, STK4, SUFU, TCEB1, TCEB2, TCF7, TCF7L1, TCF7L2, TFG, TGFA, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TP53, TPM3, TPR, TRAF1, TRAF2, TRAF3, TRAF4, TRAF5, TRAF6, VEGFA, VEGFB, VEGFC, VHL, WNT1, WNT10A, WNT10B, WNT11, WNT16, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, XIAP, ZBTB16]	FALSE
KEGG:05214	KEGG_14.03.2012	Glioma	[-1]	[Group1]	41	63.076923	7.09E-34	6.81E-32	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[AKT1, AKT2, AKT3, BRAF, CALM1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CCND1, CDK4, CDK6, CDKN1A, EGFR, GRB2, HRAS, IGF1R, MAP2K1, MAP2K2, MAPK1, MAPK3, PDGFRA, PDGFRB, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTEN, RAF1, RB1, SHC1, SHC2, SHC3, SOS1, SOS2, TP53]	[AKT1, AKT2, AKT3, ARAF, BRAF, CALM1, CALM2, CALM3, CALML3, CALML5, CALML6, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CCND1, CDK4, CDK6, CDKN1A, CDKN2A, E2F1, E2F2, E2F3, EGF, EGFR, GRB2, HRAS, IGF1, IGF1R, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MDM2, MTOR, NRAS, PDGFA, PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTEN, RAF1, RB1, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, TGFA, TP53]	FALSE
KEGG:05220	KEGG_14.03.2012	Chronic myeloid leukemia	[-1]	[Group1, Group4]	43	58.90411	1.14E-33	1.09E-31	{Group1=2.6910528053551752E-89, Group4=1.7798287520973917E-42}	{Group1=1.614631683213105E-88, Group4=1.067897251258435E-41}	[ABL1, AKT1, AKT2, AKT3, BAD, BCR, BRAF, CBL, CBLB, CBLC, CCND1, CDK4, CDK6, CDKN1A, CDKN1B, CRK, CRKL, GAB2, GRB2, HRAS, IKBKB, MAP2K1, MAP2K2, MAPK1, MAPK3, NFKB1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PTPN11, RAF1, RB1, RELA, SHC1, SHC2, SHC3, SMAD3, SOS1, SOS2, STAT5A, STAT5B, TP53]	[ABL1, AKT1, AKT2, AKT3, ARAF, BAD, BCL2L1, BCR, BRAF, CBL, CBLB, CBLC, CCND1, CDK4, CDK6, CDKN1A, CDKN1B, CDKN2A, CHUK, CRK, CRKL, CTBP1, CTBP2, E2F1, E2F2, E2F3, GAB2, GRB2, HDAC1, HDAC2, HRAS, IKBKB, IKBKG, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MDM2, MECOM, MYC, NFKB1, NFKBIA, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PTPN11, RAF1, RB1, RELA, RUNX1, SHC1, SHC2, SHC3, SHC4, SMAD3, SMAD4, SOS1, SOS2, STAT5A, STAT5B, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TP53]	TRUE
KEGG:04910	KEGG_14.03.2012	Insulin signaling pathway	[-1]	[Group1]	56	40.579712	2.30E-32	2.21E-30	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[AKT1, AKT2, AKT3, BAD, BRAF, CALM1, CBL, CBLB, CBLC, CRK, CRKL, ELK1, FOXO1, GRB2, GSK3B, HRAS, IKBKB, INPP5D, IRS2, IRS4, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PPP1CA, PRKACA, PRKACB, PRKACG, PRKCI, PRKCZ, PTPN1, PTPRF, RAF1, RAPGEF1, RPS6KB1, RPS6KB2, SH2B2, SHC1, SHC2, SHC3, SOCS1, SOCS2, SOCS3, SORBS1, SOS1, SOS2, TSC1, TSC2]	[ACACA, ACACB, AKT1, AKT2, AKT3, ARAF, BAD, BRAF, CALM1, CALM2, CALM3, CALML3, CALML5, CALML6, CBL, CBLB, CBLC, CRK, CRKL, EIF4E, EIF4E1B, EIF4E2, EIF4EBP1, ELK1, EXOC7, FASN, FBP1, FBP2, FLOT1, FLOT2, FOXO1, G6PC, G6PC2, GCK, GRB2, GSK3B, GYS1, GYS2, HK1, HK2, HK3, HKDC1, HRAS, IKBKB, INPP5D, INPP5K, INS, INSR, IRS1, IRS2, IRS4, KRAS, LIPE, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MKNK1, MKNK2, MTOR, NRAS, PCK1, PCK2, PDE3A, PDE3B, PDPK1, PHKA1, PHKA2, PHKB, PHKG1, PHKG2, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PKLR, PPARGC1A, PPP1CA, PPP1CB, PPP1CC, PPP1R3A, PPP1R3B, PPP1R3C, PPP1R3D, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKACA, PRKACB, PRKACG, PRKAG1, PRKAG2, PRKAG3, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCI, PRKCZ, PRKX, PTPN1, PTPRF, PYGB, PYGL, PYGM, RAF1, RAPGEF1, RHEB, RHOQ, RPS6, RPS6KB1, RPS6KB2, RPTOR, SH2B2, SHC1, SHC2, SHC3, SHC4, SLC2A4, SOCS1, SOCS2, SOCS3, SOCS4, SORBS1, SOS1, SOS2, SREBF1, TRIP10, TSC1, TSC2]	FALSE
KEGG:04662	KEGG_14.03.2012	B cell receptor signaling pathway	[-1]	[Group1]	43	55.844154	2.65E-32	2.54E-30	{Group1=2.6910528053551752E-89}	{Group1=1.614631683213105E-88}	[AKT1, AKT2, AKT3, BLNK, BTK, CD19, CD22, CD79A, CD79B, DAPP1, FCGR2B, FOS, GRB2, GSK3B, HRAS, IKBKB, INPP5D, JUN, LYN, MAP2K1, MAP2K2, MAPK1, MAPK3, NFATC4, NFKB1, PIK3AP1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PLCG2, PPP3CA, PRKCB, PTPN6, RAC1, RAF1, RELA, SOS1, SOS2, SYK, VAV1, VAV2, VAV3]	[AKT1, AKT2, AKT3, BCL10, BLNK, BTK, CARD11, CD19, CD22, CD72, CD79A, CD79B, CD81, CHP, CHP2, CHUK, CR2, DAPP1, FCGR2B, FOS, GRB2, GSK3B, HRAS, IFITM1, IKBKB, IKBKG, INPP5D, JUN, KRAS, LILRB3, LOC100132941, LOC100291917, LYN, MALT1, MAP2K1, MAP2K2, MAPK1, MAPK3, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, PIK3AP1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCB, PTPN6, RAC1, RAC2, RAC3, RAF1, RASGRP3, RELA, SOS1, SOS2, SYK, VAV1, VAV2, VAV3]	FALSE
